Environment: CartPole-v0
Agent: PPO
Experiment: CartPole
Parameter: None
Time Taken: 22.120239973068237 seconds
Solved in 226 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	24.0	110.0
2	32.0	92.0
3	43.0	79.0
4	22.0	84.0
5	27.0	47.0
6	75.0	36.0
7	46.0	109.0
8	111.0	46.0
9	61.0	35.0
10	119.0	45.0
11	48.0	37.0
12	70.0	31.0
13	51.0	48.0
14	52.0	55.0
15	41.0	40.0
16	45.0	41.0
17	27.0	35.0
18	53.0	32.0
19	37.0	30.0
20	33.0	49.0
21	64.0	50.0
22	83.0	59.0
23	84.0	122.0
24	40.0	200.0
25	148.0	195.0
26	103.0	145.0
27	114.0	118.0
28	99.0	128.0
29	89.0	120.0
30	159.0	167.0
31	137.0	146.0
32	90.0	200.0
33	106.0	145.0
34	200.0	200.0
35	151.0	200.0
36	75.0	200.0
37	125.0	200.0
38	200.0	185.0
39	188.0	193.0
40	111.0	174.0
41	134.0	169.0
42	200.0	151.0
43	200.0	200.0
44	195.0	200.0
45	200.0	200.0
46	133.0	200.0
47	86.0	176.0
48	180.0	170.0
49	170.0	200.0
50	200.0	200.0
51	200.0	200.0
52	200.0	200.0
53	200.0	200.0
54	200.0	200.0
55	200.0	200.0
56	200.0	200.0
57	200.0	200.0
58	200.0	200.0
59	200.0	200.0
60	200.0	200.0
61	200.0	200.0
62	200.0	200.0
63	87.0	200.0
64	200.0	200.0
65	200.0	200.0
66	200.0	200.0
67	200.0	200.0
68	200.0	200.0
69	200.0	200.0
70	200.0	200.0
71	200.0	200.0
72	200.0	200.0
73	200.0	200.0
74	200.0	200.0
75	200.0	200.0
76	200.0	200.0
77	200.0	200.0
78	200.0	200.0
79	200.0	200.0
80	200.0	200.0
81	200.0	200.0
82	160.0	200.0
83	200.0	200.0
84	200.0	200.0
85	200.0	200.0
86	200.0	200.0
87	200.0	200.0
88	200.0	200.0
89	200.0	200.0
90	200.0	200.0
91	200.0	200.0
92	200.0	200.0
93	200.0	200.0
94	200.0	200.0
95	200.0	200.0
96	200.0	200.0
97	200.0	200.0
98	200.0	200.0
99	200.0	200.0
100	200.0	200.0
101	200.0	200.0
102	200.0	200.0
103	200.0	200.0
104	200.0	200.0
105	200.0	200.0
106	200.0	200.0
107	200.0	200.0
108	200.0	200.0
109	200.0	200.0
110	200.0	200.0
111	200.0	200.0
112	200.0	200.0
113	200.0	200.0
114	200.0	200.0
115	200.0	200.0
116	200.0	200.0
117	200.0	200.0
118	200.0	200.0
119	200.0	200.0
120	200.0	200.0
121	200.0	200.0
122	200.0	200.0
123	200.0	200.0
124	200.0	200.0
125	200.0	200.0
126	200.0	200.0
127	200.0	200.0
128	200.0	200.0
129	200.0	200.0
130	200.0	200.0
131	200.0	200.0
132	200.0	200.0
133	200.0	200.0
134	200.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	149.0	200.0
145	158.0	200.0
146	200.0	200.0
147	168.0	200.0
148	200.0	200.0
149	200.0	200.0
150	143.0	176.0
151	200.0	200.0
152	197.0	200.0
153	178.0	200.0
154	123.0	188.0
155	114.0	133.0
156	128.0	200.0
157	160.0	183.0
158	163.0	200.0
159	127.0	192.0
160	200.0	200.0
161	189.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	178.0
167	200.0	146.0
168	108.0	200.0
169	200.0	200.0
170	200.0	151.0
171	200.0	195.0
172	196.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	159.0	200.0
178	195.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	196.0	200.0
184	200.0	200.0
185	200.0	200.0
186	200.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	171.0	200.0
191	200.0	200.0
192	200.0	200.0
193	200.0	200.0
194	154.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	172.0	200.0
199	200.0	200.0
200	200.0	200.0
201	156.0	198.0
202	188.0	171.0
203	200.0	175.0
204	196.0	182.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	199.0	200.0
219	200.0	200.0
220	200.0	200.0
221	194.0	191.0
222	185.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
