Environment: CartPole-v0
Agent: PPO
Experiment: cartpole_experiment
Parameter: standard
Time Taken: 76.2736542224884 seconds
Episodes: 236 episodes
Max Episodes: 2000 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	19.0	10.0
2	14.0	10.0
3	11.0	8.0
4	60.0	8.0
5	13.0	10.0
6	22.0	9.0
7	15.0	9.0
8	18.0	10.0
9	18.0	9.0
10	11.0	10.0
11	29.0	10.0
12	25.0	10.0
13	14.0	10.0
14	11.0	8.0
15	9.0	9.0
16	12.0	10.0
17	16.0	10.0
18	19.0	19.0
19	36.0	34.0
20	17.0	71.0
21	31.0	49.0
22	105.0	68.0
23	34.0	50.0
24	17.0	85.0
25	67.0	83.0
26	34.0	122.0
27	43.0	145.0
28	37.0	118.0
29	32.0	90.0
30	22.0	74.0
31	30.0	82.0
32	44.0	107.0
33	96.0	200.0
34	47.0	200.0
35	101.0	94.0
36	60.0	115.0
37	46.0	83.0
38	47.0	121.0
39	102.0	200.0
40	76.0	200.0
41	71.0	200.0
42	43.0	177.0
43	65.0	200.0
44	35.0	200.0
45	152.0	200.0
46	156.0	156.0
47	162.0	200.0
48	118.0	200.0
49	119.0	195.0
50	168.0	200.0
51	152.0	200.0
52	200.0	200.0
53	200.0	200.0
54	200.0	200.0
55	74.0	200.0
56	161.0	200.0
57	200.0	200.0
58	58.0	200.0
59	200.0	200.0
60	102.0	200.0
61	80.0	200.0
62	157.0	200.0
63	187.0	200.0
64	65.0	200.0
65	156.0	200.0
66	173.0	200.0
67	200.0	200.0
68	200.0	200.0
69	200.0	200.0
70	161.0	200.0
71	141.0	200.0
72	200.0	200.0
73	106.0	200.0
74	172.0	200.0
75	200.0	200.0
76	200.0	200.0
77	200.0	200.0
78	190.0	200.0
79	200.0	200.0
80	200.0	200.0
81	200.0	200.0
82	145.0	200.0
83	200.0	200.0
84	200.0	200.0
85	200.0	200.0
86	200.0	200.0
87	200.0	200.0
88	200.0	200.0
89	200.0	200.0
90	200.0	200.0
91	200.0	200.0
92	200.0	200.0
93	200.0	200.0
94	200.0	200.0
95	200.0	200.0
96	200.0	200.0
97	200.0	200.0
98	200.0	200.0
99	200.0	200.0
100	200.0	200.0
101	144.0	200.0
102	114.0	200.0
103	197.0	200.0
104	200.0	200.0
105	200.0	200.0
106	200.0	200.0
107	200.0	200.0
108	125.0	200.0
109	200.0	200.0
110	200.0	200.0
111	200.0	200.0
112	200.0	200.0
113	145.0	200.0
114	200.0	200.0
115	192.0	200.0
116	113.0	200.0
117	200.0	200.0
118	200.0	162.0
119	200.0	200.0
120	200.0	133.0
121	107.0	126.0
122	82.0	143.0
123	122.0	180.0
124	121.0	200.0
125	197.0	200.0
126	200.0	200.0
127	176.0	200.0
128	200.0	200.0
129	200.0	200.0
130	85.0	200.0
131	200.0	200.0
132	200.0	200.0
133	200.0	200.0
134	200.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	188.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
160	200.0	200.0
161	200.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	200.0	200.0
170	200.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	145.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	200.0	200.0
185	200.0	200.0
186	137.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	200.0	200.0
193	200.0	200.0
194	200.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
199	200.0	200.0
200	200.0	200.0
201	200.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
234	200.0	200.0
235	200.0	200.0
236	200.0	200.0
