Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-8.273946972698297,-98.22014399741775,-8.273946972698297,-98.22014399741775,921.1121137142181
2,-124.692185539839,-645.8225628280567,-66.48306625626864,-372.0213534127372,921.1121137142181
3,-187.8009553320939,-502.63841159574974,-106.92236261487706,-415.56037280707477,921.1121137142181
4,-202.28225897265042,-2105.0090708146863,-130.7623367043204,-837.9225473089776,921.1121137142181
5,-93.91739050942962,-1480.3889753944388,-123.39334746534226,-966.4158329260699,921.1121137142181
6,-362.7152519958862,-1346.7292546383528,-163.28033155376625,-1029.8014032114504,921.1121137142181
7,-169.77969540353564,-552.8897326630915,-164.20881210373332,-961.6711645616848,921.1121137142181
8,-343.44870532675645,-588.5845224814809,-186.6137987566112,-915.0353343016593,921.1121137142181
9,-261.6846782244507,-767.3028272766867,-194.95500758637115,-898.6206112988846,921.1121137142181
10,-246.15577996628076,-310.05252895099693,-200.0750848243621,-839.7638030640959,921.1121137142181
11,-93.85929501280015,-434.711321314722,-190.4191039324019,-802.9408501777892,921.1121137142181
12,-168.61077387391708,-561.1162024926596,-188.60174309419483,-782.7887962040285,921.1121137142181
13,-58.08183306213493,-326.7941425430245,-178.56175001480563,-747.7122843839513,921.1121137142181
14,-105.5956074032101,-425.9709175070428,-173.34988268540593,-724.7307581784578,921.1121137142181
15,-169.25402968179765,-212.9410267832472,-173.0768258184987,-690.6114427521103,921.1121137142181
16,-14.322321330218074,-259.71308378398135,-163.1546692879812,-663.6802953166023,921.1121137142181
17,-160.96642551911697,-520.0382592743349,-163.0259490662833,-655.2307637847042,921.1121137142181
18,-82.83838121695089,-241.7621881060234,-158.57108418576482,-632.2602873581109,921.1121137142181
19,-150.2499392736149,-291.65598555971906,-158.13312919038853,-614.3337451581955,921.1121137142181
20,-93.08524747875758,-800.5155325799875,-154.88073510480697,-623.6428345292851,921.1121137142181
21,-153.0371717566581,-321.170461827289,-154.79294637394273,-609.2393882101425,921.1121137142181
22,-166.5429612298567,-451.15809232441273,-155.32703795830247,-602.0538747607911,921.1121137142181
23,-278.66368738962365,-586.4090624287445,-160.68950097705556,-601.373665528963,921.1121137142181
24,-204.66429082091045,-518.6631084644155,-162.52178388721617,-597.9273923179401,921.1121137142181
25,-187.26542300490098,-277.7376460130263,-163.5115294519236,-585.1198024657435,921.1121137142181
26,-74.35303476042185,-278.529041337686,-160.0823565791735,-573.3278501146644,921.1121137142181
27,-76.61920307402289,-268.2322835199666,-156.99112867157532,-562.0280143148608,921.1121137142181
28,-91.35619530927879,-767.8121308161634,-154.64702390863616,-569.3774470470502,921.1121137142181
29,-97.21538597339786,-283.978346138757,-152.6666226005245,-559.5360987398676,921.1121137142181
30,-122.34197864245826,-845.6903469018603,-151.65580113525564,-569.0745736786008,921.1121137142181
31,-105.96914964467713,-793.0649708130325,-150.18203818394664,-576.3000703603567,921.1121137142181
32,-65.04298959872389,-870.9081898931024,-147.52144291565844,-585.5065740957549,921.1121137142181
33,-67.31821287397631,-800.9158170322744,-145.09104200530444,-592.034126912013,921.1121137142181
34,-220.06158597620148,-286.8134825933189,-147.29605800444847,-583.0570491379339,921.1121137142181
35,-228.60244404420072,-797.8314502439979,-149.61909760558424,-589.1934605981071,921.1121137142181
36,-169.53846748934006,-619.5488089308186,-150.17241343568855,-590.0366647184602,921.1121137142181
37,-119.37219382184486,-681.0347154991467,-149.33997506774685,-592.4960714963166,921.1121137142181
38,-290.11043153952164,-735.333919157614,-153.0444607643725,-596.2549622242454,921.1121137142181
39,-134.94614052480568,-562.44837814142,-152.58040127105028,-595.3881267349423,921.1121137142181
40,-265.29292734906846,-658.2973222646175,-155.39821442300072,-596.9608566231841,921.1121137142181
41,-281.2700618826899,-437.3611601833127,-158.46825948299315,-593.0681811002604,921.1121137142181
42,-346.6188995677105,-618.7039397872963,-162.94803662786737,-593.6785563070947,921.1121137142181
43,-303.1645808137981,-435.2260392226583,-166.20888649265646,-589.9936140493171,921.1121137142181
44,7.814362192877013,-615.7325458123889,-162.25381265889433,-590.5785897712051,921.1121137142181
45,-293.73172760456066,-577.7868787126665,-165.17554410213137,-590.2943295254598,921.1121137142181
46,-291.4513940354297,-518.7222316961618,-167.92067127459438,-588.7384143552578,921.1121137142181
47,-118.48166616571424,-464.78896548714977,-166.8687775488735,-586.1011920389151,921.1121137142181
48,-190.95394643714172,-369.9291319742493,-167.37055190071246,-581.5976074542343,921.1121137142181
